English,German
beaten,geschlagen
belief,Glauben
brand,Marke
ceiling,Decke
cheese,Käse
clue,Hinweis
confidence,Vertrauen
connection,Verbindung
daily,täglich
disguise,Verkleidung
eager,erpicht
erase,löschen
essence,Wesen
everytime,jedes Mal
expression,Ausdruck
fan,Lüfter
flag,Flagge
flirt,Flirt
foul,Foul
fur,Fell
giggle,kichern
glorious,herrlich
hers,ihres
ignorance,Ignoranz
law,Gesetz
lifeless,leblos
measure,messen
mighty,mächtig
muse,Muse
north,Norden
opposite,Gegenteil
paradise,Paradies
patience,Geduld
patient,geduldig
pencil,Bleistift
petal,Blütenblatt
plane,Flugzeug
plate,Platte
ponder,überlegen
possibly,möglicherweise
practice,üben
slice,Scheibe
slut,Schlampe
spell,Fluch
stock,Aktie
strife,Streit
strip,Streifen
struck,geschlagen
suffocate,ersticken
suit,Anzug
tender,zart
tool,Werkzeug
trade,Handel
velvet,Samt
verse,Vers
waist,Taille
witch,Hexe
worn,getragen
ah,Ah
aunt,Tante
bay,Bucht
bench,Bank
bold,deutlich
cap,Deckel
certainly,sicherlich
click,klicken
companion,Begleiter
condom,Kondom
creator,Schöpfer
dart,Pfeil
delicate,empfindlich
determine,bestimmen
dish,Gericht
dragon,Drachen
drama,Theater
drum,Trommel
dude,Alter
everybody,alle
feast,Fest
forehead,Stirn
former,ehemalig
fright,Schreck
fully,völlig
gas,Gas
gut,Darm
hook,Haken
hurl,schleudern
ill,krank
invite,einladen
juice,Saft
manage,verwalten
moral,Moral
pill,Pille
possess,besitzen
raw,roh
rebel,Rebell
royal,königlich
scale,Skala
scary,beängstigend
several,mehrere
slight,leicht
stubborn,hartnäckig
swell,anschwellen
talent,Talent
tea,Tee
terrible,schrecklich
they'd,Sie würden
thread,Faden
thy,deine
torment,quälen
trickle,Rinnsal
usually,normalerweise
vast,groß
violence,Gewalt
weave,weben
yea,Ja
acid,Säure
agony,Qual
ashamed,beschämt
awe,Scheu
belly,Bauch
blend,Mischung
blush,erröten
Catholic,katholisch
character,Charakter
cheat,schummeln
common,gemeinsam
company,Unternehmen
coward,Feigling
creak,knarren
danger,Gefahr
deadly,tötlich
defense,Verteidigung
define,definieren
depend,abhängen
desperate,verzweifelt
destination,Ziel
dew,Tau
duck,Ente
dusty,staubig
embarrass,in Verlegenheit bringen
engine,Motor
example,Beispiel
explore,erkunden
foe,Feind
freely,frei
frustrate,vereiteln
generation,Generation
glove,Handschuh
guilty,schuldig
hasn't,hat nicht
health,Gesundheit
hurry,beeil dich
idiot,Idiot
impossible,unmöglich
inhale,einatmen
jaw,Kiefer
kingdom,Königreich
mention,erwähnen
mist,Nebel
moan,jammern
mumble,murmeln
mutter,murmeln
observe,beobachten
ode,Ode
pathetic,erbärmlich
pattern,Muster
pie,Kuchen
prefer,bevorzugen
puff,Puff
rape,vergewaltigen
rare,selten
revenge,Rache
rude,unhöflich
scrape,kratzen
sip,Schluck
spiral,Spiral-
squeeze,quetschen
strain,Beanspruchung
sunset,Sonnenuntergang
suspend,aussetzen
sympathy,Sympathie
thigh,Oberschenkel
thou,du
throne,Thron
total,gesamt
unseen,ungesehen
weapon,Waffe
weary,müde
